SMILES,pIC50
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3=CC=NC(N)=C3,8.26
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3=CC(N)=NC=C3,7.97
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC=NC(N)=C3)C=C2)=S,8.35
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CC=NC(NC(C)=O)=C3,7.72
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC(N)=NC(N)=C3)C=C2)=S,7.82
S=C(NCCCN1C=NC=C1C)NC2=CC=C(OCCCCC3=CC=CC(N)=N3)C(OC)=C2,7.71
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CN=CN=C3,7.67
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCC3=CN=C(N)N=C3)C=C2)=S,7.69
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CN=C(N)N=C3,7.74
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3)C(OC)=C2,9.15
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCO)CC3)C(OC)=C2,8.13
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN3CCN(CCO)CC3)C(OC)=C2,8.32
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCN)CC3)C(OC)=C2,8.12
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCN3CCN(CCN)CC3)C(OC)=C2,8.42
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN3CCN(CCN)CC3)C(OC)=C2,8.07
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCOCCO)CC3)C(OC)=C2,7.76
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CC4=CC=CC=C4)CC3)C(OC)=C2,7.9
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C4=NC=CC=N4)CC3)C(OC)=C2,7.92
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C4=NC=C(F)C=N4)CC3)C(OC)=C2,7.39
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC3CCN(CCO)CC3)C(OC)=C2,8.05
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC3CCN(CCN)CC3)C(OC)=C2,7.97
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N)=O)C(OC)=C2,7.05
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC(N)=O)C(OC)=C2,7.72
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCC(N)=O)C(OC)=C2,7.27
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N(C)C)=O)C(OC)=C2,6.93
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC(N(C)C)=O)C(OC)=C2,7.45
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N3CCNCC3)=O)C(OC)=C2,7.82
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC(N3CCNCC3)=O)C(OC)=C2,8.11
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCC(N3CCNCC3)=O)C(OC)=C2,8.15
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(N3CCN(CCN)CC3)=O)C(OC)=C2,8.11
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCNCC3)=O)C(OC)=C2,7.99
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCC(NC3CCNCC3)=O)C(OC)=C2,8.26
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCC(NC3CCNCC3)=O)C(OC)=C2,7.78
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCN(CCO)CC3)=O)C(OC)=C2,7.75
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCN(CCN)CC3)=O)C(OC)=C2,8.35
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(N4CCNCC4)C=C3)C(OC)=C2,8.07
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(N4CCN(C)CC4)C=C3)C(OC)=C2,7.77
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(N4CCN(CCO)CC4)C=C3)C(OC)=C2,7.79
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(N4CCN(CCN)CC4)C=C3)C(OC)=C2,7.92
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(C4=CCNCC4)C=C3)C(OC)=C2,8.03
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC3=CC=C(C4CCNCC4)C=C3)C(OC)=C2,8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC3=CC=C(N4CCNCC4)C=C3)C(OC)=C2,7.94
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC3=CC=C(C4CCNCC4)C=C3)C(OC)=C2,8.21
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,8.38
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(NC)=NC=C3)C(OC)=C2,7.87
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(NCCO)=NC=C3)C(OC)=C2,8.06
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(NCCN)=NC=C3)C(OC)=C2,8.74
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCN)=C2,8.05
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCN)=C2,8.06
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCN3CCNCC3)=C2,7.74
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCN3CCNCC3)=C2,7.8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCN3CCNCC3)=C2,7.82
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCC3CCNCC3)=C2,8.14
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCC3CCNCC3)=C2,8.06
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCC3CCNCC3)=C2,8.1
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCC3CCN(C)CC3)=C2,7.69
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCC3=CC(N)=NC=C3)=C2,7.58
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCC3=CC(N)=NC=C3)=C2,7.82
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCC3=CC(N)=NC=C3)=C2,7.8
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OC)C(OCCCCNC3=NC=CC=N3)=C2,7.82
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3)C=C2,7.73
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(N)=NC=C3)C=C2,7.61
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCNCC3)=O)C=C2,7.89
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NC3CCN(CCN)CC3)=O)C=C2,8.1
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCC(NCC3=CC=NC(N)=C3)=O)C=C2,7.25
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(/C=C/C(N3CCNCC3)=O)C=C2,7.71
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(/C=C/C(NC3CCN(CCN)CC3)=O)C=C2,7.95
CC1=CN=CN1CCCNC(N(CC)C2=CC(OC)=C(OC)C=C2)=S,8.06
COC1=CC=C(N(CC(C)C)C(NCCCN2C=NC=C2C)=S)C=C1OC,8.17
COC1=CC=C(N(CC2CCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.39
COC1=CC=C(N(C2CCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.19
COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.33
COC1=CC=C(N(CC2=CC=CC=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.34
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=CC(Cl)=C3)C=C1OC,8.46
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=C(Cl)C=C3)C=C1OC,8.28
COC1=CC=C(N(CC2=CC=CN=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.27
COC1=CC=C(N(CC2=CC=NC=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.25
COC1=CC=C(NC(NCCCN2C=NC=C2C)=O)C=C1OC,6.79
COC1=CC=C(N(C)C(NCCCN2C=NC=C2C)=O)C=C1OC,7.1
COC1=CC=C(N(CC)C(NCCCN2C=NC=C2C)=O)C=C1OC,7.57
COC1=CC=C(N(CC(C)C)C(NCCCN2C=NC=C2C)=O)C=C1OC,8.12
COC1=CC=C(N(C2CC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.41
COC1=CC=C(N(C2CCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.58
COC1=CC=C(N(C2CCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.71
COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.35
COC1=CC=C(N(CC2=CC=CC=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.88
COC1=CC(N(CC2=CC(F)=CC=C2)C(NCCCN3C=NC=C3C)=O)=CC=C1OC,7.69
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=CC(Cl)=C3)C=C1OC,7.89
COC1=CC=C(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=C(Cl)C=C3)C=C1OC,7.9
COC1=CC=C(N(CC2=CC=CN=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.06
O=C(N(CC1=CC=C(Cl)N=C1)C2=CC(OC)=C(OC)C=C2)NCCCN3C=NC=C3C,7.49
CC1=CN=CN1CCCNC(N(CC2=CC=NC(N)=C2)C3=CC=C(OC)C(OC)=C3)=O,7.75
COC1=CC=C(N(CCC2=CC=NC(N)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.43
COC1=CC=C(N(CCCCC2=CC=NC(N)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.44
COC1=CC=C(N(C2=CC=CC=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.03
CC1=CN=CN1CCCNC(N(C2=NC=CO2)C3=CC=C(OC)C(OC)=C3)=O,7.16
COC1=CC=C(N(C2=NC=CS2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.01
COC1=CC=C(N(C2CCNCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.09
CC1=CN=CN1CCCNC(N(C2CCN(CC)CC2)C3=CC(OC)=C(OC)C=C3)=O,7.09
CC1=CN=CN1CCCNC(N(C2CCN(C(C)=O)CC2)C3=CC=C(OC)C(OC)=C3)=O,7.27
