SMILES,pIC50
O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,8.14
O=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN(C)C)C(OC)=C2,7.4
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCCN(C)C)C(OC)=C3,7.47
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,7.89
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.82
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,9.34
O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.85
O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCN(C)CC4)C(OC)=C3,8.49
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,7.48
O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.45
O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C(C)C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.9
O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCN(C)CC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8
O=C(NCCCC1=CC(N=CN2)=C2C=C1)C(C)(C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.62
O=C(NCCCC1=CC(N=CN2)=C2C=C1)C3(CCCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,6.16
COC1=CC=C(C2=CC=CC(F)=C2NCCCN3C=CN=C3)C=C1OC,5.86
CC1=CN(CCCNC2=CC=C(C)C=C2C3=CC=C(OC)C(OC)=C3)C=N1,6.03
CC1=CN(CCCNC2=CC=CC(C)=C2C3=CC=C(F)C=C3)C=N1,6.1
O=C1CNC(N1CCCN2C=NC=C2)=S,4.8
O=CC(C=C1)=CC=C1OCCCN2C=NC=C2,4.62
O=C(NC1=CC(OC2CCCC2)=C(OC)C=C1)NCCCN3C=NC(C)=C3,5.01
S=C(NCC1=CC=CO1)NC2=CC=C(NC=N3)C3=C2,4.77
S=C(NC1=CC=C(OC)C(OC)=C1)NCCCCN2C(C)=CN=C2,6.19
S=C(NC1=C(C)C=C(C)C=C1C)NCCCN2C=C(C)N=C2,5.37
S=C(NCC1=CC=CC=C1Cl)NC2=CC=C(NC=N3)C3=C2,5.12
